simulation-time real-time total unconfirmed
1 0.0421635 0 0
2 0.0616641 5 5
3 0.0812393 15 14
4 0.0817204 15 14
5 0.0848614 15 14
6 0.0852923 15 14
7 0.0888867 16 15
8 0.0938577 25 22
9 0.0991037 25 22
10 0.0995721 25 22
11 0.103457 25 22
12 0.104348 26 23
13 0.20315 35 30
14 0.203782 35 30
15 0.208442 35 30
16 0.208967 35 30
17 0.215884 36 30
18 0.221283 45 37
19 0.227661 45 37
20 0.228233 45 37
21 0.233342 45 37
22 0.234299 46 38
23 0.363674 55 43
24 0.36433 55 43
25 0.369431 55 43
26 0.370014 55 43
27 0.377518 56 42
28 0.383478 65 44
29 0.388827 65 44
30 0.389363 65 44
31 0.394249 65 44
32 0.395258 66 45
33 0.510707 75 44
34 0.511323 75 44
35 0.516233 75 44
36 0.5168 75 44
37 0.523296 76 45
38 0.529226 85 49
39 0.535597 85 49
40 0.536164 85 49
41 0.541238 85 49
42 0.542319 86 50
43 0.654739 95 54
44 0.655576 95 54
45 0.665229 95 54
46 0.665959 95 54
47 0.677683 96 55
48 0.687279 105 59
49 0.700466 105 59
50 0.701124 105 59
51 0.70714 105 59
52 0.708238 106 60
53 0.871871 115 64
54 0.872603 115 64
55 0.878483 115 64
56 0.879146 115 64
57 0.887357 116 64
58 0.894771 125 70
59 0.901496 125 70
60 0.902371 125 70
61 0.909329 125 70
62 0.910539 126 70
63 1.10672 135 77
64 1.10741 135 77
65 1.11582 135 77
66 1.11645 135 77
67 1.12852 136 78
68 1.13863 145 79
69 1.14793 145 79
70 1.14853 145 79
71 1.15676 145 79
72 1.15802 146 78
73 1.34089 155 78
74 1.34157 155 78
75 1.347 155 78
76 1.3476 155 78
77 1.35785 156 77
78 1.36739 165 64
79 1.37614 165 64
80 1.37896 165 64
81 1.3891 165 64
82 1.39071 166 62
83 1.53094 175 63
84 1.53165 175 63
85 1.54037 175 63
86 1.54107 175 63
87 1.55242 176 63
88 1.56475 185 58
89 1.57395 185 58
90 1.57462 185 58
91 1.58321 185 58
92 1.58458 186 58
93 1.75069 195 59
94 1.75137 195 59
95 1.75733 195 59
96 1.75797 195 59
97 1.76899 196 58
98 1.78036 205 63
99 1.78983 205 63
100 1.79044 205 63
101 1.79901 205 63
102 1.80042 206 63
103 1.96962 215 60
104 1.97027 215 60
105 1.97602 215 60
106 1.97659 215 60
107 1.98407 216 61
108 1.99037 225 64
109 1.99668 225 64
110 1.99718 225 64
111 2.00273 225 64
112 2.00379 226 62
113 2.15505 235 61
114 2.15575 235 61
115 2.16124 235 61
116 2.16182 235 61
117 2.17029 236 62
118 2.17833 245 57
119 2.18452 245 57
120 2.18522 245 57
121 2.19389 245 57
122 2.19592 246 57
123 2.31673 255 59
124 2.31741 255 59
125 2.32288 255 59
126 2.32334 255 59
127 2.33115 256 57
128 2.33922 265 54
129 2.34572 265 54
130 2.34629 265 54
131 2.35187 265 54
132 2.35305 266 50
133 2.50156 275 56
134 2.50226 275 56
135 2.50805 275 56
136 2.50868 275 56
137 2.51661 276 54
138 2.52702 285 53
139 2.53714 285 53
140 2.53779 285 53
141 2.54654 285 53
142 2.54789 286 53
143 2.7789 295 49
144 2.77961 295 49
145 2.78542 295 49
146 2.78606 295 49
147 2.79389 296 50
148 2.80157 305 55
149 2.809 305 55
150 2.80969 305 55
151 2.81589 305 55
152 2.81699 306 55
153 2.99027 315 61
154 2.99104 315 61
155 2.99729 315 61
156 2.99797 315 61
157 3.0069 316 62
158 3.01382 325 61
159 3.02082 325 61
160 3.02144 325 61
161 3.0275 325 61
162 3.02867 326 62
163 3.19549 335 63
164 3.19626 335 63
165 3.20277 335 63
166 3.20348 335 63
167 3.21184 336 64
168 3.21914 345 60
169 3.22615 345 60
170 3.22679 345 60
171 3.23278 345 60
172 3.2339 346 61
173 3.45152 355 60
174 3.45285 355 60
175 3.4616 355 60
176 3.46233 355 60
177 3.47327 356 59
178 3.48454 365 61
179 3.49394 365 61
180 3.49477 365 61
181 3.50476 365 61
182 3.50613 366 62
183 3.70152 375 63
184 3.70217 375 63
185 3.70754 375 63
186 3.70814 375 63
187 3.71682 376 63
188 3.72399 385 59
189 3.72977 385 59
190 3.73031 385 59
191 3.73527 385 59
192 3.73634 386 60
193 3.84511 395 64
194 3.84576 395 64
195 3.85106 395 64
196 3.85161 395 64
197 3.85935 396 63
198 3.86729 405 63
199 3.87316 405 63

