time real-time total unconfirmed
1 0.409151 0 0
2 0.410323 5 5
3 1.87172 34 31
4 2.00879 34 31
5 2.41128 34 31
6 2.42034 34 31
7 2.85438 35 32
8 2.94166 65 61
9 3.13714 65 61
10 3.14017 65 61
11 3.32236 65 61
12 3.32861 66 62
13 9.7416 93 84
14 10.9949 95 86
15 11.1185 95 86
16 11.1216 95 86
17 11.3065 96 87
18 11.3852 125 113
19 11.5097 125 113
20 11.5131 125 113
21 11.6254 125 113
22 11.6305 126 114
23 16.8353 154 133
24 17.769 155 133
25 17.9132 155 133
26 17.9161 155 133
27 18.0339 156 134
28 18.0901 185 152
29 18.2099 185 152
30 18.2152 185 152
31 18.3527 185 152
32 18.3595 186 152
33 23.0991 212 161
34 24.1378 215 163
35 24.2294 215 163
36 24.2326 215 163
37 24.3485 216 164
38 24.4371 245 176
39 24.5876 245 176
40 24.5906 245 176
41 24.7311 245 176
42 24.7376 246 175
43 29.4181 268 175
44 31.0916 275 176
45 31.3312 275 176
46 31.3347 275 176
47 31.4731 276 177
48 31.5462 305 191
49 31.6404 305 191
50 31.6439 305 191
51 31.7401 305 191
52 31.7462 306 191
53 37.2072 332 203
54 38.9958 335 203
55 39.1087 335 203
56 39.1124 335 203
57 39.2515 336 203
58 39.3219 365 206
59 39.4178 365 206
60 39.4224 365 206
61 39.5271 365 206
62 39.5343 366 204
63 45.3884 392 214
64 47.7489 395 215
65 47.9313 395 215
66 47.9352 395 215
67 48.1576 396 214
68 48.2387 425 230
69 48.3366 425 230
70 48.3399 425 230
71 48.4616 425 230
72 48.4681 426 231
73 53.7033 451 232
74 55.2857 455 232
75 55.3899 455 232
76 55.3936 455 232
77 55.6151 456 232
78 55.7328 485 237
79 55.8964 485 237
80 55.8999 485 237
81 56.0594 485 237
82 56.0665 486 235
83 62.7869 510 234
84 64.9723 515 235
85 65.1211 515 235
86 65.1233 515 235
87 65.2467 516 235
88 65.3619 545 229
89 65.5226 545 229
90 65.5282 545 229
91 65.6761 545 229
92 65.6858 546 230
93 71.1014 571 240
94 72.8376 575 239
95 73.0017 575 239
96 73.0052 575 239
97 73.2125 576 240
98 73.2836 605 250
99 73.4165 605 250
100 73.4197 605 250
101 73.5394 605 250
102 73.5458 606 242
103 79.4921 632 240
104 82.0684 635 235
105 82.2062 635 235
106 82.2097 635 235
107 82.3609 636 236
108 82.4743 665 238
109 82.6184 665 238
110 82.6217 665 238
111 82.7422 665 238
112 82.7481 666 239
113 87.0861 692 234
114 88.4681 695 237
115 88.5656 695 237
116 88.5689 695 237
117 88.6963 696 236
118 88.768 725 233
119 88.8576 725 233
120 88.8619 725 233
121 88.9794 725 233
122 88.9867 726 230
123 94.4336 752 226
124 96.0837 755 223
125 96.1955 755 223
126 96.199 755 223
127 96.333 756 224
128 96.4432 785 237
129 96.576 785 237
130 96.5794 785 237
131 96.7309 785 237
132 96.738 786 238
133 101.766 812 255
134 103.396 815 258
135 103.525 815 258
136 103.529 815 258
137 103.722 816 254
138 103.821 845 248
139 103.932 845 248
140 103.936 845 248
141 104.063 845 248
142 104.07 846 247
143 108.959 874 246
144 110.041 875 245
145 110.197 875 245
146 110.201 875 245
147 110.344 876 246
148 110.411 905 250
149 110.506 905 250
150 110.51 905 250
151 110.605 905 250
152 110.612 906 251
153 115.737 932 266
154 117.583 935 266
155 117.716 935 266
156 117.719 935 266
157 117.844 936 266
158 117.922 965 264
159 118.014 965 264
160 118.017 965 264
161 118.132 965 264
162 118.14 966 265
163 124.352 991 244
164 126.732 995 244
165 126.856 995 244
166 126.859 995 244
167 127.033 996 245
168 127.158 1025 239
169 127.251 1025 239
170 127.254 1025 239
171 127.334 1025 239
172 127.34 1026 240
173 131.98 1055 228
174 132.849 1055 228
175 132.963 1055 228
176 132.966 1055 228
177 133.137 1056 228
178 133.226 1085 223
179 133.311 1085 223
180 133.315 1085 223
181 133.401 1085 223
182 133.408 1086 223
183 138.981 1113 216
184 140.112 1115 215
185 140.203 1115 215
186 140.206 1115 215
187 140.333 1116 214
188 140.438 1145 210
189 140.577 1145 210
190 140.579 1145 210
191 140.659 1145 210
192 140.665 1146 208
193 146.542 1173 213
194 149.024 1175 214
195 149.15 1175 214
196 149.153 1175 214
197 149.337 1176 215
198 149.423 1205 222
199 149.496 1205 222
200 149.499 1205 222
201 149.572 1205 222
202 149.578 1206 221
203 155.616 1233 222
204 156.951 1235 221
205 157.085 1235 221
206 157.088 1235 221
